discipline_name,discipline_url,lab_name,lab_url,pic,experiment_name,experiment_url
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,RC Differentiator and Integrator,https://be-iitkgp.vlabs.ac.in/exp/differentiator-integrator/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Black Box,https://be-iitkgp.vlabs.ac.in/exp/black-box/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Study of basic properties of Operational Amplifier: Inverting and Non-Inverting Amplifiers,https://be-iitkgp.vlabs.ac.in/exp/non-inverting-amplifiers/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Study of Differentiator and Integrator using Operational Amplifier,https://be-iitkgp.vlabs.ac.in/exp/operational-amplifier/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Washing machine control using basic AND and NOT gates,https://da-iitb.vlabs.ac.in/exp/washin-machine-control/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Basics of OR gate and its application in industrial control,https://da-iitb.vlabs.ac.in/exp/industrial-control/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Basics of NOT gate and its application in an eight bit ones complement circuit,https://da-iitb.vlabs.ac.in/exp/eight-bit-ones-complement/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Basic NOT gate and its application in fuel level indicator,https://da-iitb.vlabs.ac.in/exp/fuel-level-indicator/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Seat belt warning system using basic AND and NOT gates,https://da-iitb.vlabs.ac.in/exp/seat-belt-warning-system/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Basics of AND gate and its application in car wiper control,https://da-iitb.vlabs.ac.in/exp/car-wiper-control/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Water level control using basic AND and NOT gates,https://da-iitb.vlabs.ac.in/exp/water-level-control/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Electronic lock using basic logic gates,https://da-iitb.vlabs.ac.in/exp/electronic-lock/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Universal NAND gate and its application in level monitoring in chemical plant,https://da-iitb.vlabs.ac.in/exp/level-monitoring-chemical-plant/
